72,475429
164,281653
141,555098
95,276054
96,166182
165,5
142,630513
50,908
73,16
97,334604
120,435124
51,229859
166,372145
74,72939
143,119527
98,362065
75,46571
52,819739
167,285102
121,3
144,220217
145,121474
53,152681
168,114990
30,39535
76,135546
99,159040
122,61783
169,272159
100,173000
146,461056
54,270306
31,248811
123,273628
77,2549717
101,64744
124,87380
32,135128
55,821
147,96683
78,37514
56,691415
79,1758561
33,113984
148,178850
102,332515
125,174898
10,237170
57,4908658
149,89697
103,9
34,118355
11,57844
126,364
35,125930
104,194499
127,87982
58,224632
12,31767
105,149856
36,149514
59,207713
128,308558
13,114128
14,107687
106,67080
37,274402
129,200747
107,126675
15,96331
38,412598
108,69285
16,78280
39,1155967
17,184899
109,309497
18,45330
19,341706
170,254364
171,1512
80,841138
81,174311
150,124025
82,227896
151,80929
60,147052
83,147689
152,174664
130,290030
61,77050
84,255114
153,136072
154,93922
85,103085
131,134290
155,207113
40,152762
86,130977
63,249113
132,533163
41,143020
87,177887
156,6
110,187404
133,45605
64,207843
88,193382
157,80152
42,169500
134,2
111,306395
65,361606
158,3
20,308878
112,181290
135,2368009
89,220515
66,170388
43,111467
21,466590
159,85762
67,60479
113,246784
44,87237
136,203710
137,263723
45,150550
22,126247
68,24384
114,129185
69,944970
115,135110
46,102265
138,776823
23,225106
139,158596
116,112422
47,563648
24,120424
48,272935
25,108950
117,119392
49,103631
118,219857
26,171981
27,467414
28,281055
29,240685
0,159585
1,109815
2,81668
3,144926
4,60609
5,126996
6,88525
7,113225
8,113555
9,159676
90,259602
160,215063
91,249580
92,483415
161,143010
162,249607
93,593494
70,587742
71,174699
163,109044
140,264200
94,177254
